name,name_pt,name_en,barcode,brands,categories,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,countries,source
Proteína de Soja Texturizada,Proteína de Soja Texturizada,,7896006791096,Camil,,,,,,,,,,en:brazil; en:france,openfoodfacts
Shoyu Light,Shoyu Light,Molho de Soja / Salsa de Soja Suave,7896007800124,Sakura,en:condiments; en:sauces; en:soy-sauces,,,,,,,,,en:bolivia; en:brazil; en:france,openfoodfacts
Água de coco,Água de coco,,7896016601972,DuCOCO,en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:coconut-waters,,,,,,,,,en:brazil,openfoodfacts
Água de coco esterilizada,Água de coco esterilizada,,7896016602757,DuCOCO,en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:coconut-waters,,,,,,,,,en:brazil,openfoodfacts
Bis,Bis,,7896019603430,Lacta,,,,,,,,,,en:brazil,openfoodfacts
Amaro,Amaro,,7896019621762,Lacta,,,,,,,,,,en:brazil,openfoodfacts
Macarrão De Sêmola Com Ovos Parafuso Renata Pacote 500g,Macarrão De Sêmola Com Ovos Parafuso Renata Pacote 500g,,7896022200206,SELMI,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:cereals-and-their-products; en:pastas,,,,,,,,,en:brazil,openfoodfacts
Farinha De Trigo Tradicional Renata Pacote 1KG,,,7896022200961,Renata,en:plant-based-foods-and-beverages; en:plant-based-foods; en:snacks; en:cereals-and-potatoes; en:sweet-snacks,,,,,,,,,en:brazil; en:france,openfoodfacts
Renata Superiore Tagliarini,Renata Superiore Tagliarini,,7896022201289,Renata,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:cereals-and-their-products; en:pastas,,,,,,,,,en:brazil,openfoodfacts
Ravioli Recheio de Calabresa,Ravioli Recheio de Calabresa,,7896024041913,Pavioli,,,,,,,,,,en:brazil,openfoodfacts
Piraquê água gergelim,Piraquê água gergelim,,7896024721600,Piraque,,,,,,,,,,en:brazil,openfoodfacts
Piraquê leite maltado,Piraquê leite maltado,,7896024723482,Piraque,,,,,,,,,,en:brazil,openfoodfacts
Melville,Melville,,7896024850256,Superbom,,,,,,,,,,en:brazil,openfoodfacts
Leite Uht Semidesnatado Parmalat Caixa Com Tampa 1l,Leite Uht Semidesnatado Parmalat Caixa Com Tampa 1l,Leite UHT Semidesnatado,7896034610024,Parmalat,en:dairies; en:milks-liquid-and-powder; en:milks; en:homogenized-milks; en:pasteurised-products,,,,,,,,,en:brazil,openfoodfacts
Creme de Leite,Creme de Leite,,7896034630442,Parmalat,en:dairies; en:creams; pt:creme-de-leite,,,,,,,,,en:brazil,openfoodfacts
Kid Lat Chocolate,Kid Lat Chocolate,,7896034665307,Parmalat,,,,,,,,,,en:brazil,openfoodfacts
Cisne Tradicional,Cisne Tradicional,,7896035271538,Cisne,,,,,,,,,,en:brazil,openfoodfacts
Elefante Extrato De Tomate,Elefante Extrato De Tomate,,7896036094983,Elefante,,,,,,,,,,en:brazil,openfoodfacts
Tarantella Tradicional,Tarantella Tradicional,,7896036095003,Arisco,,,,,,,,,,en:brazil,openfoodfacts
Extrato De Tomate Elefante Lata 130g,Extrato De Tomate Elefante Lata 130g,,7896036095041,ELEPHANT,,,,,,,,,,en:brazil,openfoodfacts
Pomarola Lévia,Pomarola Lévia,,7896036095157,Pomarola,,,,,,,,,,en:brazil,openfoodfacts
Molho para salada Mediterrâneo,,,7896036097441,La Baliza,,,,,,,,,,en:brazil; en:france,openfoodfacts
Choco Soy Olvebra Crispies,Choco Soy Olvebra Crispies,,7896043013106,Olvebra,en:snacks; en:sweet-snacks; en:cocoa-and-its-products; en:chocolates,,,,,,,,,en:brazil,openfoodfacts
Chá Real Multiervas Frutas Vermelhas,Chá Real Multiervas Frutas Vermelhas,,7896045077816,Real,,,,,,,,,,en:brazil,openfoodfacts
Cerveza Heineken,,Cerveza Heineken,7896045523412,Heineken,en:beverages; en:alcoholic-beverages; en:beers,,,,,,,,,en:brazil,openfoodfacts
Creme De Leite Esterilizado Homogeneizado Itambé Lata 300g,Creme De Leite Esterilizado Homogeneizado Itambé Lata 300g,,7896051114086,ITAMBE,en:dairies; pt:alimentos-para-culinaria; pt:produtos-lacteos,,,,,,,,,en:brazil,openfoodfacts
Leite Condensado Itambé,Leite Condensado Itambé,,7896051115014,Itambé,en:dairies; en:condensed-milks,,,,,,,,,en:brazil,openfoodfacts
Leite Condensado Itambé,Leite Condensado Itambé,,7896051115038,Itambé,en:dairies; en:condensed-milks,,,,,,,,,en:brazil,openfoodfacts
Leite em pó integral sem lactose,Leite em pó integral sem lactose,Leite em pó integral Itambé 400g,7896051130116,Itambé,en:beverages; en:dairies; en:dried-products; en:milks; en:dried-products-to-be-rehydrated,,,,,,,,,en:brazil,openfoodfacts
Leite em Pó,Leite em Pó,,7896051130291,Itambé,en:dairies,,,,,,,,,en:brazil,openfoodfacts
Itambezinho morango,Itambezinho morango,,7896051142218,Itambé,,,,,,,,,,en:brazil,openfoodfacts
Itubaína,Itubaína,Itubaína Original,7896052600236,Itubaína,en:beverages; en:carbonated-drinks; en:sodas; en:sweetened-beverages,,,,,,,,,en:brazil,openfoodfacts
Triunfo Cream Cracker,Triunfo Cream Cracker,,7896058202540,Triunfo,,,,,,,,,,en:brazil,openfoodfacts
tortinhs,,tortinhs,7896058250848,Triunfo,,,,,,,,,,en:brazil,openfoodfacts
Mini disqueti,,,7896058500110,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Granulado para cobertura receita original,Granulado para cobertura receita original,,7896058501506,Dori,en:bread-coverings; en:cooking-helpers; en:food-decorations; en:pastry-helpers; en:sprinkles,,,,,,,,,en:brazil,openfoodfacts
Pettiz amendoim crocante 150g,Pettiz amendoim crocante 150g,,7896058503821,Dori,en:plant-based-foods-and-beverages; en:plant-based-foods; en:legumes-and-their-products; en:snacks; en:legumes,,,,,,,,,en:brazil,openfoodfacts
Amendoim,Amendoim,,7896058591095,Dori,,,,,,,,,,en:brazil,openfoodfacts
Serigy Coco Ralado Puro,Serigy Coco Ralado Puro,,7896059020051,Serigy,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fruits-and-vegetables-based-foods; en:fruits-based-foods; en:fruits,,,,,,,,,en:brazil,openfoodfacts
Verinha Paçoca Rolha,Verinha Paçoca Rolha,,7896059911816,"Verinha,Malta e Rezende,Indústria de Produtos Alimentícios Rezende",en:plant-based-foods-and-beverages; en:plant-based-foods; en:breakfasts; en:spreads; en:plant-based-spreads,,,,,,,,,en:brazil,openfoodfacts
Água Mineral Natural,,Água Mineral Natural,7896062800022,Petrópolis,,,,,,,,,,en:brazil,openfoodfacts
Água Mineral São Lourenço Com Gás,Água Mineral São Lourenço Com Gás,,7896062801050,"São Lourenço,Nestlé Waters Brasil,Nestlé",en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Água Mineral São Lourenço Sem Gás,Água Mineral São Lourenço Sem Gás,,7896062802354,"São Lourenço,Nestlé Waters Brasil,Nestlé",en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Água Mineral Minalba Com Gás,Água Mineral Minalba Com Gás,,7896065870497,"Minalba,Minalba Alimentos e Bebidas",en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Água Mineral Natural sem gás,,Água Mineral Natural sem gás,7896065880069,Minalba,en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Pão De Forma Grão Sabor Wickbold 500G,,,7896066310572,Wickbold,,,,,,,,,,en:brazil; en:france,openfoodfacts
Wickbold Tradicional,Wickbold Tradicional,Pão de Forma,7896066317595,Wickbold,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:breads; en:sliced-breads,,,,,,,,,en:brazil,openfoodfacts
Torrada Tradicional Wickbold Pacote 140g,Torrada Tradicional Wickbold Pacote 140g,Torrada tradicional,7896066334509,WICKBOLD,,,,,,,,,,en:brazil,openfoodfacts
Grão sabor,Grão sabor,,7896066336466,Wickbold,,,,,,,,,,en:brazil,openfoodfacts
Estar leve 10 grãos,Estar leve 10 grãos,,7896066342191,Wickbold,,,,,,,,,,en:brazil; en:france,openfoodfacts
Wickbold Light Linhaça Integral,Wickbold Light Linhaça Integral,,7896066342276,Wickbold,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:breads; pt:pao-integral-com-linhaca,,,,,,,,,en:brazil,openfoodfacts
Danubio Queijo Cremoso Ervas Finas,Danubio Queijo Cremoso Ervas Finas,,7896068000075,"Danubio,Vigor",pt:queijo-cremoso,,,,,,,,,en:brazil,openfoodfacts
mabel Água e Sal,mabel Água e Sal,,7896071003193,mabel,,,,,,,,,,en:brazil,openfoodfacts
eQuilibri Torrada Original,eQuilibri Torrada Original,,7896071024075,eQuilibri,,,,,,,,,,en:brazil,openfoodfacts
Toddy Choco Torta,Toddy Choco Torta,,7896071024112,Toddy,,,,,,,,,,en:brazil,openfoodfacts
Chocolate em Pó Solúvel com 50% de Cacau,Chocolate em Pó Solúvel com 50% de Cacau,,7896072644234,Mavalério,en:beverages-and-beverages-preparations; en:cocoa-and-its-products; en:beverage-preparations; en:cooking-helpers; en:cocoa-and-chocolate-powders,,,,,,,,,en:bolivia; en:brazil,openfoodfacts
Pita Bread Pão Sírio,Pita Bread Pão Sírio,,7896073903712,Pita Bread,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:breads; en:flatbreads,,,,,,,,,en:brazil,openfoodfacts
Pão De Queijo,Pão De Queijo,,7896074600993,Forno De Minas,,,,,,,,,,en:brazil; en:france,openfoodfacts
Doce De Leite Elegê,,,7896079587329,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Torrone com Amendoim,Torrone com Amendoim,,7896079816139,Montevérgine,en:snacks; en:sweet-snacks; en:confectioneries; en:nougats,,,,,,,,,en:brazil,openfoodfacts
Torrone com Amendoim Super 3,Torrone com Amendoim Super 3,,7896079816337,Montevérgine,,,,,,,,,,en:brazil,openfoodfacts
Garlic,,,7896085868917,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Sabonete Liquido Style Pleasures Mahogany,,,7896086901125,,,,,,,,,,,en:brazil,openfoodfacts
Café Pilão,Café Pilão,,7896089011357,Pilão,en:plant-based-foods-and-beverages; en:plant-based-foods; en:coffees; pt:cafe-em-po,,,,,,,,,en:brazil,openfoodfacts
Café Torrado Em Grãos Espresso Pilão Pouch 1kg,Café Torrado Em Grãos Espresso Pilão Pouch 1kg,,7896089012101,PILAO,en:plant-based-foods-and-beverages; en:plant-based-foods; en:coffees,,,,,,,,,en:brazil,openfoodfacts
Vinagre de vinho tinto Peixe,Vinagre de vinho tinto Peixe,,7896089325089,Peixe,pt:vinagre-de-vinho-tinto,,,,,,,,,en:brazil,openfoodfacts
LINDOYA verão,,,7896089500240,,en:beverages; en:waters,,,,,,,,,en:brazil,openfoodfacts
monange,monange,,7896094905429,monange,,,,,,,,,,en:brazil,openfoodfacts
Adoçante dietético líquido,Adoçante dietético líquido,,7896094910959,Zero Cal,en:sweeteners; en:food-additives; en:sugar-substitutes; en:artificial-sugar-substitutes,,,,,,,,,en:brazil; en:france,openfoodfacts
Amélia Cremosa Com Sal,Amélia Cremosa Com Sal,,7896096007787,Vigor,,,,,,,,,,en:brazil,openfoodfacts
Feijão preto,Feijão preto,,7896101062015,Combrasil,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fruits-and-vegetables-based-foods; en:legumes-and-their-products; en:legumes,,,,,,,,,en:brazil; en:france,openfoodfacts
Quero Ketchup Tradicional,Quero Ketchup Tradicional,,7896102502756,Quero,en:condiments; en:sauces; en:tomato-sauces; en:ketchup; pt:molho-de-tomate,,,,,,,,,en:brazil,openfoodfacts
Yellow Mustard,Yellow Mustard,Yellow Mustard,7896102503715,Heinz,en:condiments; en:sauces; en:mustards; en:yellow-mustards,,,,,,,,,en:bolivia; en:brazil,openfoodfacts
Salsa de Tomate,Salsa de Tomate,,7896102509410,Quero,en:condiments; en:sauces; en:tomato-sauces,,,,,,,,,en:brazil,openfoodfacts
Quero Milho Verde,Quero Milho Verde,,7896102517125,"Quero,Coniexpress S.A.",pt:milho-verde-em-conserva,,,,,,,,,en:brazil,openfoodfacts
Feijão Kicaldo,Feijão Kicaldo,,7896116900029,Kicaldo,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fruits-and-vegetables-based-foods; en:legumes-and-their-products; en:legumes,,,,,,,,,en:brazil,openfoodfacts
&quot;Paçoquinha&quot; com Açúcar Mascavo,&quot;Paçoquinha&quot; com Açúcar Mascavo,,7896181709244,DaColônia,en:plant-based-foods-and-beverages; en:plant-based-foods; en:legumes-and-their-products; en:breakfasts; en:legumes,,,,,,,,,en:brazil; en:france,openfoodfacts
Divinas Azeitonas Recheadas com Pimentão,Divinas Azeitonas Recheadas com Pimentão,,7896183001063,Rivoli,,,,,,,,,,en:brazil,openfoodfacts
Azeitonas Verdes Recheadas com Pimentão,Azeitonas Verdes Recheadas com Pimentão,,7896183001872,Rivoli,,,,,,,,,,en:brazil,openfoodfacts
Creme de Leite,Creme de Leite,,7896183210120,Glória,en:dairies; pt:creme-de-leite,,,,,,,,,en:brazil,openfoodfacts
Leite de Soja,,Leite de Soja,7896194400190,Natu's,,,,,,,,,,en:brazil,openfoodfacts
Granatus cookies,,,7896194405584,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Pingo Leite Oliveira 500G,,,7896202891637,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Ave Maria Formato Tradicional,Ave Maria Formato Tradicional,,7896205722204,Basilar,,,,,,,,,,en:brazil,openfoodfacts
Macarrão Instantâneo,,Macarrão Instantâneo,7896205774203,Adria,,,,,,,,,,en:brazil,openfoodfacts
Pão De Fôrma Integral 7 Grãos,Pão De Fôrma Integral 7 Grãos,,7896209400771,nutrella,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:breads,,,,,,,,,en:brazil; en:france,openfoodfacts
Pão Integral 14 Grãos Nutrella Pacote 450g,Pão Integral 14 Grãos Nutrella Pacote 450g,14 Grãos,7896209401174,nutrella,,,,,,,,,,en:brazil,openfoodfacts
Caipirinha,,,7896209600614,Birds,en:beverages; en:alcoholic-beverages; fr:caipirinha,,,,,,,,,en:brazil,openfoodfacts
Ricota Fresca Cristina,Ricota Fresca Cristina,,7896212500130,Queijos Cristina,pt:ricota-fresca,,,,,,,,,en:brazil,openfoodfacts
Geleia Laranja Queensberry Classic Vidro 320g,Geleia Laranja Queensberry Classic Vidro 320g,,7896214532108,QUEENSBERRY,,,,,,,,,,en:brazil,openfoodfacts
Canela em Pó,Canela em Pó,,7896237500573,Wally,,,,,,,,,,en:brazil,openfoodfacts
Barra de mixed nuts original,,,7896261402621,Agtal,en:plant-based-foods-and-beverages; en:plant-based-foods; en:snacks; en:sweet-snacks; en:nuts-and-their-products,,,,,,,,,en:brazil; en:france,openfoodfacts
Barra de Mixed Nuts Nozes & Candela,,,7896261402638,Agtal,en:plant-based-foods-and-beverages; en:plant-based-foods; en:snacks; en:sweet-snacks; en:nuts-and-their-products,,,,,,,,,en:brazil; en:france,openfoodfacts
Mixed nuts damasco + quinoa,Mixed nuts damasco + quinoa,Mixed nuts damasco + quinoa,7896261402874,Agtal,,,,,,,,,,en:brazil,openfoodfacts
Água Mineral Petrópolis Sem Gás,Água Mineral Petrópolis Sem Gás,,7896279000567,Petrópolis Paulista,en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Água Mineral Natural Petrópolis Com Gás,Água Mineral Natural Petrópolis Com Gás,,7896279000574,Petrópolis Paulista,en:beverages-and-beverages-preparations; en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Linhaça marrom,Linhaça marrom,,7896283000416,Jasmine,en:plant-based-foods-and-beverages; en:plant-based-foods; en:seeds,,,,,,,,,en:brazil,openfoodfacts
Cookies integral,,,7896283004513,Jasmine,en:snacks; en:sweet-snacks; en:biscuits-and-cakes; en:biscuits-and-crackers; en:biscuits,,,,,,,,,en:brazil; en:france,openfoodfacts
Paladar Manjar de Coco,Paladar Manjar de Coco,,7896283510410,"Paladar,Savon",pt:po-para-manjar-de-coco,,,,,,,,,en:brazil,openfoodfacts
Mistura para Massas Salgadas,Mistura para Massas Salgadas,,7896283513138,"Paladar,Savon",pt:massa-salgada; pt:misturas-para-massas-salgadas; pt:preparados-para-massas,,,,,,,,,en:brazil,openfoodfacts
Hipopo,,,7896286618380,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Caju Izzy,Caju Izzy,,7896288960173,Izzy,en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:fruit-based-beverages; en:juices-and-nectars,,,,,,,,,en:brazil,openfoodfacts
Izzy Pêssego,Izzy Pêssego,,7896288960685,Izzy,,,,,,,,,,en:brazil,openfoodfacts
Rapadurinha,,,7896289400098,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Arroz Prato Fino Branco,Arroz Prato Fino Branco,,7896290300189,PRATO FINO,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:seeds; en:cereals-and-their-products,,,,,,,,,en:brazil,openfoodfacts
Predilecta Goiabada,Predilecta Goiabada,,7896292300095,Predilecta,,,,,,,,,,en:brazil; en:france,openfoodfacts
Milho em Conserva,Milho em Conserva,,7896292300507,Predilecta,en:canned-foods,,,,,,,,,en:brazil,openfoodfacts
Goiabada Cascão,Goiabada Cascão,,7896292370050,Predilecta,en:breakfasts; en:spreads; en:sweet-spreads,,,,,,,,,en:brazil; en:portugal,openfoodfacts
mupy,,,7896293806206,,,,,,,,,,,en:brazil,openfoodfacts
Crock Pizza Original,Crock Pizza Original,Crock Pizza Original,7896296800126,Santa Ernestina,,,,,,,,,,en:brazil,openfoodfacts
Pegadas Do Banzé,,,7896312105662,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Água Mineral Minalice,Água Mineral Minalice,,7896326100202,Minalice,,,,,,,,,,en:brazil,openfoodfacts
Maria Mole,Maria Mole,,7896327501152,Apti,,,,,,,,,,en:brazil,openfoodfacts
Manteiga Aviação,Manteiga Aviação,,7896331100310,"Aviação,Laticínios Gonçalves Salles",en:dairies; en:fats; en:spreads; en:spreadable-fats; en:animal-fats,,,,,,,,,en:brazil,openfoodfacts
Doce de Leite,Doce de Leite,Doce de leite,7896331100372,Aviacao,en:breakfasts; en:spreads; en:sweet-spreads; en:milk-jams,,,,,,,,,en:brazil; en:france,openfoodfacts
Doce De Amendoim Paçoquita Santa Helena,,,7896336000028,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Doce de amendoim,Doce de amendoim,,7896336001971,Paçoquita,en:plant-based-foods-and-beverages; en:plant-based-foods; en:legumes-and-their-products; en:legumes; en:nuts-and-their-products,,,,,,,,,en:brazil,openfoodfacts
Paçoquita,Paçoquita,Pacoquita,7896336002237,Santa Helena,en:plant-based-foods-and-beverages; en:plant-based-foods; en:legumes-and-their-products; en:snacks; en:legumes,,,,,,,,,en:brazil; en:france,openfoodfacts
Paçoquita mini,,,7896336004828,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Cocada,,,7896336005825,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Paçoquita,Paçoquita,,7896336006624,"Santa Helena,Paçoquita",en:plant-based-foods-and-beverages; en:plant-based-foods; en:snacks; en:sweet-snacks; en:confectioneries,,,,,,,,,en:bolivia; en:brazil,openfoodfacts
"Paçoquita 3,84 GR.",,Pacoquita,7896336006631,Santa Helena,en:snacks; en:sweet-snacks; en:confectioneries,,,,,,,,,en:brazil; en:france,openfoodfacts
Helena Paçoquita Sweet Ground Peanut,Helena Paçoquita Sweet Ground Peanut,Paçoquita,7896336006679,Santa Helena,,,,,,,,,,en:brazil,openfoodfacts
Paçoquita,Paçoquita,,7896336006686,"Paçoquita,Santa Helena",en:plant-based-foods-and-beverages; en:plant-based-foods; en:snacks; en:sweet-snacks; en:nuts-and-their-products,,,,,,,,,en:brazil,openfoodfacts
Pacoca Rolha St Hel Pacoq 1KG,,,7896336006778,,pt:pacoca-rolha,,,,,,,,,en:brazil; en:france,openfoodfacts
Paçoquita sabor Original,Paçoquita sabor Original,,7896336006945,"Santa Elena,Paçoquita",en:plant-based-foods-and-beverages; en:plant-based-foods; en:snacks; en:sweet-snacks; en:nuts-and-their-products,,,,,,,,,en:bolivia; en:brazil; en:chile,openfoodfacts
Paçoquita com aveia,,,7896336007737,Santa Helena,,,,,,,,,,en:brazil; en:france,openfoodfacts
Paçoquita Cremosa Santa Helena - 180G,,,7896336007812,Santa Helena,,,,,,,,,,en:brazil; en:france,openfoodfacts
Batata Chips Lucky,Batata Chips Lucky,,7896341131168,Lucky,,,,,,,,,,en:brazil,openfoodfacts
Batata Frita Ondulada Sabor Cebola e Salsa,Batata Frita Ondulada Sabor Cebola e Salsa,Strike Cebola e Salsa,7896346803794,Strike,,,,,,,,,,en:brazil,openfoodfacts
Pão de queijo recheado com catupiry tradicional,Pão de queijo recheado com catupiry tradicional,,7896353300255,Catupiry,en:cheese-buns,,,,,,,,,en:brazil,openfoodfacts
Ypioca Castanheira,,,7896383700698,Ypioca,,,,,,,,,,en:brazil,openfoodfacts
"Mistura para bolo sabor chocolate, sem adição de açucar","Mistura para bolo sabor chocolate, sem adição de açucar",,7896417225159,Vilma,,,,,,,,,,en:brazil,openfoodfacts
cream cracker,,,7896417294155,Vilma,,,,,,,,,,en:brazil,openfoodfacts
m&m's,,,7896423419276,M&M's,,,,,,,,,,en:brazil; en:france,openfoodfacts
M&m's,,,7896423420791,M&M's,,,,,,,,,,en:brazil; en:france,openfoodfacts
Confeito De Chocolate Ao Leite Com Amendoim M Ms Pacote 49g,Confeito De Chocolate Ao Leite Com Amendoim M Ms Pacote 49g,,7896423421255,M&M S,,,,,,,,,,en:brazil,openfoodfacts
Doce de Caju,,,7896491780315,DuCeara,,,,,,,,,,en:brazil; en:france,openfoodfacts
Cacau em pó,Cacau em pó,,7896496940325,Mãe terra,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fruits-and-vegetables-based-foods; en:vegetables-based-foods; en:cocoa-and-its-products,,,,,,,,,en:brazil,openfoodfacts
Mãe Terra Guaraná em Pó,Mãe Terra Guaraná em Pó,,7896496940516,"Mãe Terra,Mãe Terra Produtos Naturais",pt:guarana-em-po,,,,,,,,,en:brazil,openfoodfacts
Proteína de Soja Texturizada Granulada,Proteína de Soja Texturizada Granulada,,7896496940950,mãe terra,,,,,,,,,,en:brazil,openfoodfacts
Trato Mix Completo,Trato Mix Completo,,7896496971831,Trato mix,en:plant-based-foods-and-beverages; en:plant-based-foods; en:seeds; pt:castanhas; pt:cereais,,,,,,,,,en:brazil; en:france,openfoodfacts
Granola de verdade,,,7896496972210,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Mini cookies integrais 4 castanhas brasileiras,Mini cookies integrais 4 castanhas brasileiras,,7896496982004,"Mãe terra,Gol",en:snacks; en:sweet-snacks; en:biscuits-and-cakes; en:biscuits,,,,,,,,,en:brazil,openfoodfacts
leite mega milk integral,leite mega milk integral,,7896570200062,Mega Milk,en:beverages-and-beverages-preparations; en:beverages; en:dairies; en:milks-liquid-and-powder; en:milks,,,,,,,,,en:brazil,openfoodfacts
Doce abobora coco,,,7896653703183,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Pipoca de Milho Clac,Pipoca de Milho Clac,,7896702900037,Clac,en:snacks; en:popcorn,,,,,,,,,en:brazil,openfoodfacts
Óleo misto de soja e azeite de oliva 5%,Óleo misto de soja e azeite de oliva 5%,,7896760960462,Quinta da Boa Vista,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fats; en:vegetable-fats; en:olive-tree-products,,,,,,,,,en:brazil,openfoodfacts
Banana Passa Banana Brasil Caixa 774g 9 Unidades,Banana Passa Banana Brasil Caixa 774g 9 Unidades,,7896798600347,BANANA BRASIL,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fruits-and-vegetables-based-foods; en:fruits-based-foods; en:dried-products,,,,,,,,,en:brazil,openfoodfacts
Balas de Bananas,,,7896918300010,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Balas de banana,,,7896918300027,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Suco de Uva tinto integral,,,7896931611940,Campo Largo,,,,,,,,,,en:brazil,openfoodfacts
Paçoca doce de amendoim,,,7896962500107,Tony Kelly Ind,en:plant-based-foods-and-beverages; en:plant-based-foods; en:legumes-and-their-products; en:legumes; en:nuts-and-their-products,,,,,,,,,en:brazil; en:france,openfoodfacts
Azeite de dendê,,,7896975000441,,,,,,,,,,,en:brazil; en:france,openfoodfacts
Molho de Alho,Molho de Alho,,7896975000472,Tempemar,pt:oleo-de-alho-em-azeite-de-oliva,,,,,,,,,en:brazil,openfoodfacts
Água Mineral Natural Passa Quatro Sem Gás,Água Mineral Natural Passa Quatro Sem Gás,,7896984205004,Passa Quatro,en:beverages; en:waters; en:spring-waters; en:mineral-waters,,,,,,,,,en:brazil,openfoodfacts
Golden Bytes Crocantes,Golden Bytes Crocantes,,7896986206146,"I.B.A.C.,Cacau Show",en:snacks; en:sweet-snacks; en:confectioneries; pt:drageados-crocantes,,,,,,,,,en:brazil,openfoodfacts
Drageados Cacau Show de Avelãs,Drageados Cacau Show de Avelãs,,7896986237089,Cacau Show,,,,,,,,,,en:brazil,openfoodfacts
Chocolate zero lactose e zero glúten. 50%de cacau,Chocolate zero lactose e zero glúten. 50%de cacau,,7896986239328,Cacau Show,,,,,,,,,,en:brazil,openfoodfacts
Popcheese mini pão de queijo provolone,Popcheese mini pão de queijo provolone,,7897076021014,"Maricota,Quatá",en:cheese-buns,,,,,,,,,en:brazil,openfoodfacts
Alho Frito,Alho Frito,,7897330800942,Alimentos AJA,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fruits-and-vegetables-based-foods; en:condiments; en:vegetables-based-foods,,,,,,,,,en:brazil,openfoodfacts
Levure de biere,,,7897714900022,,en:food-additives; en:yeast,,,,,,,,,en:brazil; en:france,openfoodfacts
Trio Light Banana com Aveia e Mel,Trio Light Banana com Aveia e Mel,,7897900310604,"Trio,Trio Alimentos",pt:barra-de-cereais,,,,,,,,,en:brazil,openfoodfacts
Kim Pão de Forma,Kim Pão de Forma,,7897972000151,"Kim, Kim Neto Indústria e Comércio de Alimento LTDA.",en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:breads; en:sliced-breads,,,,,,,,,en:brazil,openfoodfacts
Kim Bisnaguinhas,Kim Bisnaguinhas,,7897972001103,"Kim,Kim Neto Ind.Com.Panificação",pt:bisnaguinha,,,,,,,,,en:brazil,openfoodfacts
Suco Uva Branca,,,7898003540356,,,,,,,,,,,en:brazil,openfoodfacts
Nutella 350g,Nutella 350g,,7898024394181,Ferrero,en:breakfasts; en:spreads; en:sweet-spreads; fr:pates-a-tartiner; en:hazelnut-spreads,,,,,,,,,en:argentina; en:brazil; en:united-states,openfoodfacts
Kinder Ovo Star Wars edição especial de páscoa,Kinder Ovo Star Wars edição especial de páscoa,,7898024397090,"Kinder,Ferrero",en:snacks; en:sweet-snacks; en:cocoa-and-its-products; en:festive-foods; en:chocolates,,,,,,,,,en:brazil,openfoodfacts
Granulado crocante camp,Granulado crocante camp,,7898027658457,Camp,en:bread-coverings; en:cooking-helpers; en:food-decorations; en:pastry-helpers; en:sprinkles,,,,,,,,,en:brazil,openfoodfacts
